Date,Price,Open,High,Low,Vol.,Change %
12/29/2023,"2,584.85","2,608.05","2,614.80","2,579.15",848.45K,-0.80%
12/28/2023,"2,605.80","2,587.00","2,611.35","2,587.00",183.81K,0.75%
12/27/2023,"2,586.35","2,578.50","2,599.35","2,572.25",103.81K,0.34%
12/26/2023,"2,577.50","2,570.00","2,592.90","2,563.00",90.28K,0.50%
12/22/2023,"2,564.70","2,562.20","2,580.55","2,548.00",524.56K,0.10%
12/21/2023,"2,562.20","2,510.45","2,572.50","2,510.45",364.80K,1.38%
12/20/2023,"2,527.35","2,560.30","2,597.85","2,520.00",649.41K,-1.22%
12/19/2023,"2,558.45","2,537.70","2,573.00","2,525.85",234.38K,1.53%
12/18/2023,"2,519.95","2,494.20","2,534.40","2,491.05",196.18K,0.99%
12/15/2023,"2,495.20","2,472.15","2,499.95","2,469.05",681.58K,1.25%
12/14/2023,"2,464.50","2,453.00","2,475.00","2,442.70",3.65M,1.28%
12/13/2023,"2,433.40","2,427.75","2,438.00","2,406.30",137.30K,0.39%
12/12/2023,"2,423.95","2,458.00","2,464.90","2,420.25",98.11K,-1.43%
12/11/2023,"2,459.05","2,452.15","2,467.40","2,452.15",169.52K,0.12%
12/08/2023,"2,456.20","2,461.20","2,475.70","2,444.50",1.11M,-0.06%
12/07/2023,"2,457.60","2,460.70","2,461.05","2,442.00",2.89M,-0.13%
12/06/2023,"2,460.70","2,443.25","2,473.60","2,440.30",130.35K,0.95%
12/05/2023,"2,437.55","2,433.00","2,440.50","2,421.35",390.82K,0.68%
12/04/2023,"2,421.00","2,440.05","2,445.00","2,395.00",6.48M,1.15%
12/01/2023,"2,393.45","2,381.00","2,396.90","2,380.00",2.83M,0.72%
11/30/2023,"2,376.40","2,398.00","2,400.50","2,371.25",4.38M,-1.00%
11/29/2023,"2,400.50","2,405.15","2,411.75","2,398.25",323.78K,0.25%
11/28/2023,"2,394.55","2,393.00","2,398.80","2,375.00",353.12K,0.01%
11/24/2023,"2,394.30","2,390.20","2,402.40","2,390.20",584.86K,-0.04%
11/23/2023,"2,395.15","2,387.75","2,401.25","2,387.75",227.53K,0.31%
11/22/2023,"2,387.75","2,372.70","2,394.75","2,372.40",63.24K,0.39%
11/21/2023,"2,378.50","2,362.05","2,387.65","2,359.40",76.01K,1.24%
11/20/2023,"2,349.30","2,349.00","2,358.00","2,336.85",163.82K,-0.28%
11/17/2023,"2,355.85","2,357.35","2,373.00","2,353.00",573.10K,-0.32%
11/16/2023,"2,363.35","2,349.95","2,373.70","2,346.80",435.61K,0.27%
11/15/2023,"2,356.90","2,335.50","2,362.35","2,326.80",104.54K,1.84%
11/13/2023,"2,314.30","2,325.00","2,325.00","2,311.65",127.88K,-0.71%
11/12/2023,"2,330.90","2,329.70","2,332.55","2,324.10",35.99K,0.72%
11/10/2023,"2,314.30","2,308.00","2,317.00","2,298.15",499.80K,0.16%
11/09/2023,"2,310.65","2,330.55","2,336.55","2,305.00",211.60K,-1.11%
11/08/2023,"2,336.60","2,333.70","2,341.00","2,322.60",317.76K,0.53%
11/07/2023,"2,324.20","2,337.75","2,339.45","2,320.00",205.37K,-0.63%
11/06/2023,"2,339.05","2,334.95","2,340.00","2,326.05",326.96K,0.86%
11/03/2023,"2,319.05","2,328.65","2,335.00","2,314.90",813.33K,-0.03%
11/02/2023,"2,319.85","2,309.00","2,324.00","2,306.50",84.61K,1.01%
11/01/2023,"2,296.65","2,289.90","2,317.50","2,275.25",263.10K,0.35%
10/31/2023,"2,288.55","2,332.95","2,332.95","2,282.80",146.84K,-0.99%
10/30/2023,"2,311.35","2,283.95","2,324.60","2,272.00",271.75K,2.04%
10/27/2023,"2,265.25","2,242.00","2,274.05","2,236.05",793.19K,1.75%
10/26/2023,"2,226.20","2,257.95","2,258.00","2,221.05",682.50K,-1.41%
10/25/2023,"2,258.00","2,252.95","2,281.50","2,242.40",217.48K,-0.21%
10/23/2023,"2,262.65","2,292.00","2,306.70","2,254.25",250.47K,-1.59%
10/20/2023,"2,299.15","2,302.45","2,314.80","2,296.05",474.55K,-0.28%
10/19/2023,"2,305.55","2,314.95","2,321.40","2,301.55",590.34K,-0.78%
10/18/2023,"2,323.60","2,355.25","2,367.15","2,320.20",260.84K,-1.36%
10/17/2023,"2,355.60","2,352.45","2,360.00","2,342.00",135.64K,0.54%
10/16/2023,"2,342.90","2,348.00","2,354.00","2,336.00",208.83K,-0.33%
10/13/2023,"2,350.70","2,342.90","2,358.00","2,330.00",686.71K,0.08%
